file,start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.350000,0 days 00:00:00.370000,0.0267174,-0.08026814,5.947265,0.06236468,0.019829562,0.0013578688,22.990318,-27.963934,17.729496,-9.848173,0.0,0.0,0.0,0.0,0.0,0.0,823.0245,1279.3932,-201.0,1826.7015,1095.0586,-201.0,2749.7578,1040.3888,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.360000,0 days 00:00:00.380000,0.02800923,-0.2929639,5.982466,0.05401735,0.021979807,0.0015697461,23.41773,-27.400833,20.846216,-6.589502,0.0,0.0,0.0,0.0,0.0,0.0,872.8925,1213.4764,-201.0,1865.9092,1140.5682,-201.0,2758.8113,977.9729,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.370000,0 days 00:00:00.390000,0.028130405,0.28625536,5.789152,0.039139885,0.02314224,0.0016180634,22.314955,-27.223902,23.116793,-5.615088,0.0,0.0,0.0,0.0,0.0,0.0,769.4455,1232.067,-201.0,1688.3722,1196.2845,-201.0,2595.546,988.3851,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.380000,0 days 00:00:00.400000,0.027956085,-0.12973876,5.7959995,0.03297578,0.027913922,0.0016022398,23.00355,-25.394312,25.771173,-3.124878,0.0,0.0,0.0,0.0,0.0,0.0,752.2797,1254.7666,-201.0,1645.1519,1148.7626,-201.0,2558.3525,923.09015,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.390000,0 days 00:00:00.410000,0.027652467,-0.8985086,5.387539,0.04118437,0.02371654,0.0014598315,22.840118,-24.673857,23.66477,-9.134414,0.0,0.0,0.0,0.0,0.0,0.0,728.2962,1395.206,-201.0,1682.7699,1102.2426,-201.0,2645.286,1540.5013,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.400000,0 days 00:00:00.420000,0.026164569,-1.3361946,5.269172,0.044955004,0.022806948,0.0013826322,22.042686,-24.392069,21.556807,-11.4918585,0.0,0.0,0.0,0.0,0.0,0.0,744.5659,1341.8011,-201.0,1728.9878,1044.5057,-201.0,2667.4268,1577.256,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.410000,0 days 00:00:00.430000,0.026503883,-1.3974286,5.9644303,0.04688405,0.019616334,0.0014287205,22.701296,-24.741732,19.956308,-12.25211,0.0,0.0,0.0,0.0,0.0,0.0,765.1875,1400.7633,-201.0,1678.0531,1173.4829,-201.0,2645.1033,1530.8989,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.420000,0 days 00:00:00.440000,0.025428904,-1.3130375,7.951214,0.04641728,0.01857096,0.0014095292,22.65919,-24.483772,18.923067,-11.580926,0.0,0.0,0.0,0.0,0.0,0.0,558.38696,1587.3724,-201.0,1504.6221,1233.2538,-201.0,2487.9153,921.3903,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.430000,0 days 00:00:00.450000,0.026401354,-2.3514285,8.470968,0.047527846,0.012900966,0.0014724582,23.982185,-23.12358,19.528788,-14.291064,0.0,0.0,0.0,0.0,0.0,0.0,401.39334,1702.5941,-201.0,1431.3256,1240.6222,-201.0,2461.6829,998.67236,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.440000,0 days 00:00:00.460000,0.026101643,-2.3717403,8.715575,0.053167272,0.011130989,0.0013188655,23.086283,-23.86907,19.15011,-16.852526,0.0,0.0,0.0,0.0,0.0,0.0,551.2105,1857.6382,-201.0,1537.9291,1243.7454,-201.0,2554.3464,1043.4286,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.450000,0 days 00:00:00.470000,0.027368017,-1.5908484,7.0576777,0.05249161,0.012567858,0.001347913,23.53842,-25.04214,20.24395,-16.318712,0.0,0.0,0.0,0.0,0.0,0.0,772.1922,1596.7235,-201.0,1690.0845,1219.3739,-201.0,2651.8538,1043.6123,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.460000,0 days 00:00:00.480000,0.027789118,-1.3158087,7.5493393,0.055960227,0.015847476,0.001281633,24.20267,-25.684454,20.40568,-12.917065,0.0,0.0,0.0,0.0,0.0,0.0,783.0166,1563.701,-201.0,1673.502,1310.7996,-201.0,2548.3728,1118.2687,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.470000,0 days 00:00:00.490000,0.027482225,-0.25316504,6.3862534,0.055760086,0.020721897,0.0013416134,23.585665,-26.49205,21.201773,-11.507121,0.0,0.0,0.0,0.0,0.0,0.0,611.38794,1316.5951,-201.0,1612.7871,1177.4779,-201.0,2501.8987,1090.7648,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.480000,0 days 00:00:00.500000,0.026429048,-0.34932113,6.328943,0.054556992,0.019295234,0.0012581929,23.166162,-26.93251,22.182775,-10.871368,0.0,0.0,0.0,0.0,0.0,0.0,603.54987,1381.4867,-201.0,1596.8551,1167.7731,-201.0,2486.4358,1100.8878,-201.0
